Barcode	Description	UnitRRP	Category	CategoryID
9770002684249	Amateur Photographer	350	Photography	552
9770002684256	Amateur Photographer	240	Photography	552
9770002684461	Amateur Photographer	295	Photography	552
9770002684478	Amateur Photographer	245	Photography	552
9770003653053	Apollo	550	Antiques	527
9770004353006	Art Forum	695	Art	528
9770004387087	Artist	295	Art	528
9770007639190	Buses	390	Transport General	558
9770007639196	Buses	380	Transport General	558
9770007639299	Buses	395	Transport General	558
9770007893011	CQ Amateur Radio	495	Electronics & Radio	535
9770007956204	Cage & Aviary Birds	200	Birds	547
9770007956211	Cage & Aviary Birds	150	Birds	547
9770011605143	Dancing Times	325	Dance & Theatre	534
9770011605150	Dancing Times	350	Dance & Theatre	534
9770015371273	Flight International	350	Aviation	529
9770018514202	Horse & Hound	210	Equestrian	537
9770024071072	Leisure Painter	280	Art	528
9770024071126	Leisure Painter	350	Art	528
9770027206129	Motor Transport	305	Transport General	558
9770032455154	Popular Mechanics	495	Electronics & Radio	535
9770036997124	Sea Breezes	325	Boating	530
9770036997148	Sea Breezes	415	Yatching	562
9770037394113	Ships Monthly	275	Boating	530
9770037394151	Ships Monthly	360	Boating	530
9770037394168	Ships Monthly	380	Boating	530
9770037394182	Ships Monthly 	425	Boating	530
9770037480083	Sight & Sound	395	Film & Video Reviews	538
9770041093071	Trains	350	Railways	555
9770041093941	Trains	350	Modern	557
9770041200035	Travel & Leisure	370	Holiday / Travel	542
9770043998206	Yachting Monthly	410	Yatching	562
9770044000199	Yachts Yachting	410	Boating	530
9770140291217	Model Boats	475	Modelling	545
9770143916049	Bus Fayre	325	Transport General	558
9770147712975	Vintage Spirit	299	Transport General	558
9770147712982	Vintage Spirit	450	Transport General	558
9770163726062	Railfan & Railroad	375	Modern	557
9770191096038	Yoga Journal	395	General Health & Fitness	540
9770191096960	Yoga Journal	475	General Health & Fitness	540
9770191096977	Yoga Journal	450	General Health & Fitness	540
9770191096984	Yoga Journal	450	General Health & Fitness	540
9770262361157	Everyday Practical Electronics	375	Electronics & Radio	535
9770262580190	Practical Fishkeeping	350	Fish	551
9770262695177	Flypast	380	Aviation	529
9770264913095	Boat International	480	Boating	530
9770264984057	Televisual	385	Film & Video Reviews	538
9770266411216	Your Horse	399	Equestrian	537
9770266411995	Your Horse	499	Equestrian	537
9770266797051	Dogs Monthly	399	Dogs	550
9770267535096	Eventing	350	Equestrian	537
9770267535102	Eventing	360	Equestrian	537
9770267535140	Eventing	400	Equestrian	537
9770268333103	Radio Race Car	325	Radio Controlled Modelling	554
9770268333134	Radio Race Car International	395	Radio Controlled Modelling	554
9770268451906	Elektor Electronics	565	Electronics & Radio	535
9770268451999	Elektor Electronics	720	Electronics & Radio	535
9770268832033	Military Illustr P & P	350	Military	544
9770269830014	Radio Control Model Ele	475	Radio Controlled Modelling	554
9770269830168	Radio Control Model Ele	340	Radio Controlled Modelling	554
9770269830212	Radio Control Model Ele	435	Radio Controlled Modelling	554
9770277979088	Finescale Modeller	325	Modelling	545
9770277979927	Finescale Modeller	395	Modelling	545
9770300169134	Pilot	360	Aviation	529
9770300169981	Pilot	499	Aviation	529
9770306563165	Air International	360	Aviation	529
9770306563240	Air International	450	Aviation	529
9770307667237	Stamp	375	Collecting	532
9770307667893	Stamp	350	Collecting	532
9770585254051	Stereophile	520	Electronics & Radio	535
9770886160808	Radio Control Car Action	120	Radio Controlled Modelling	554
9770886160815	Radio Control Car Action	375	Radio Controlled Modelling	554
9770886160921	Radio Cont Car Action	499	Radio Controlled Modelling	554
9770886160969	Radio Cont Car Action	350	Radio Controlled Modelling	554
9770889973023	Military History	350	Military	544
9770889973030	Military History	365	Military	544
9770898894043	Classic Trains	395	Steam	556
9770938872086	Tv Spielfilm	200	TV & Film Spin Offs	559
9770953456148	Rail	310	Modern	557
9770953456162	Rail	320	Modern	557
9770954808007	Gibbons Stamp Monthly	300	Collecting	532
9770955111076	Hi-Fi Choice	390	Hi-Fi	541
9770955129132	Continental Modeller	445	Modelling	545
9770955538101	Backtrack	370	Transport General	558
9770956592089	Old Glory	350	Transport General	558
9770956592096	Old Glory	360	Transport General	558
9770956592119	Old Glory	395	Transport General	558
9770956592133	Old Glory	410	Transport General	558
9770956662188	Stamp & Coin Mart	340	Collecting	532
9770957384133	Tv Zone	399	TV & Film Spin Offs	559
9770957384911	Tv Zone	499	TV & Film Spin Offs	559
9770957494160	Empire	340	Film & Video Reviews	538
9770958189201	Motorboats Monthly	380	Boating	530
9770958189218	Motorboats Monthly	390	Boating	530
9770958189249	Motorboats Monthly	420	Boating	530
9770958639089	Yachting Life	299	Yatching	562
9770958712980	Starburst Special	599	TV & Film Spin Offs	559
9770958768130	Shipping Today & Yesterday	295	Transport General	558
9770958768161	Shipping Today & Yesterday	330	Transport General	558
9770958768192	Shipping Today And Yesterday	375	Transport General	558
9770959191760	List (The)	350	Entertainment / Listings	536
9770959191913	List (The)	295	Entertainment / Listings	536
9770959903172	Trail	390	Camping /Walking /Climbing	531
9770960544999	Living France	499	Holiday / Travel	542
9770960823964	Tv Zone Spl	999	TV & Film Spin Offs	559
9770962067007	Frieze	695	Art	528
9770964695086	Impact	325	Film & Video Reviews	538
9770965823860	Shivers	499	TV & Film Spin Offs	559
9770966612005	Christmas Projects	399	Crafts	533
9770966843096	Classic Bus	350	Transport General	558
9770967491098	Dolls House & Miniature 	395	Crafts	533
9770967706116	Military In Scale	450	Modelling	545
9771043800001	Radio Control Boat Modeller	280	Radio Controlled Modelling	554
9771076885006	Aviation History	375	Aviation	529
9771079116022	Dressage Today	350	Equestrian	537
9771095107073	Flight Journal	350	Aviation	529
9771095107110	Flight Journal	450	Aviation	529
9771095107868	Flight Journal	425	Aviation	529
9771095107905	Flight Journal	399	Aviation	529
9771095107974	Flight Journal	399	Aviation	529
9771095109008	Yachts International USA	595	Yatching	562
9771350145178	Camping Magazine	310	Camping /Walking /Climbing	531
9771350145215	Camping	380	Camping /Walking /Climbing	531
9771350145222	Camping 	395	Camping /Walking /Climbing	531
9771350198129	Crafts	375	Art	528
9771353260106	Your Cat	300	Cats	548
9771354268095	Traction Magazine	350	Modern	557
9771354268101	Traction Magazine	375	Modern	557
9771355931042	Teddy Bear Scene	360	Collecting	532
9771357310104	Tractor & Machinery	310	Transport General	558
9771358860035	Absolute Horse	200	Equestrian	537
9771358886066	Absolute Horse	280	Equestrian	537
9770002684263	Amateur Photographer	375	Photography	552
9770002684324	Amatuer Photography	260	Photography	552
9770002684362	Amateur Photographer	380	Photography	552
9770002684379	Amateur Photographer	270	Photography	552
9770002684973	Amateur Photographer	300	Photography	552
9770004387063	Artist	270	Art	528
9770004387117	Artist	330	Art	528
9770007119098	British Journal Of Photography	210	Photography	552
9770007119104	British Journal Of Photography	220	Photography	552
9770007956150	Cage & Aviary Birds	125	Birds	547
9770007956969	Cage & Aviary Birds Dbl	125	Birds	547
9770010047005	Coins	400	Collecting	532
9770015371198	Flight International	285	Aviation	529
9770015371266	Flight International	340	Aviation	529
9770018514196	Horse & Hound	200	Equestrian	537
9770018514257	Horse & Hound	260	Equestrian	537
9770026408999	Military Modelling	499	Modelling	545
9770026734043	Model Railroader	350	Modelling	545
9770026734975	Model Railroader	450	Modelling	545
9770027206143	Motor Transport	315	Transport General	558
9770032458995	Popular Photography	295	Photography	552
9770032644183	Practical Photography	399	Photography	552
9770033686038	Radio Control Modeller	325	Radio Controlled Modelling	554
9770033736993	Rac & Fball Outlook Euro 2004 	200	Racing & Betting	553
9770036723011	Sailplane & Gliding	399	Aviation	529
9770036997131	Sea Breezes	375	Yatching	562
9770037733011	Smithsonian Collectives	495	Holiday / Travel	542
9770043998169	Yachting Monthly	350	Yatching	562
9770043998183	Yachting Monthly	370	Yatching	562
9770140291965	Model Boats	495	Modelling	545
9770140291989	Model Boats	495	Modelling	545
9770143246115	Seahorse Int L Sailing 	430	Boating	530
9770144291138	Model Boats	320	Modelling	545
9770163726055	Railfan & Railroad	350	Modern	557
9770191096052	Yoga Journal	440	General Health & Fitness	540
9770191096991	Yoga Journal	450	General Health & Fitness	540
9770262580176	Practical Fishkeeping	325	Fish	551
9770262580237	Practical Fishkeeping	410	Fish	551
9770262695221	Flypast	430	Aviation	529
9770263637152	Canal & Riverboat	310	Boating	530
9770266411148	Your Horse	320	Equestrian	537
9770266894101	Vintage Roadscene	355	Transport General	558
9770266894125	Vintage Roadscene	385	Transport General	558
9770266894279	Vintage Roadscene	365	Transport General	558
9770268333127	Radio Race Car	375	Radio Controlled Modelling	554
9770268832040	Military Illustr P & P	385	Military	544
9770269830175	Radio Control Model Ele	350	Radio Controlled Modelling	554
9770269830182	Radio Control Model Ele	380	Radio Controlled Modelling	554
9770306154027	Adventure Travel	280	Camping /Walking /Climbing	531
9770306154097	After The Battle	500	Military	544
9770306563233	Air International	440	Aviation	529
9770306563264	Air International	470	Aviation	529
9770307180101	Locomotives Illustrated	350	Steam	556
9770307667213	Stamp	345	Collecting	532
9770747093078	National Geographic Traveler	450	Holiday / Travel	542
9770886160761	Car Action	499	Radio Controlled Modelling	554
9770886160822	Radio Cont Car Action	499	Radio Controlled Modelling	554
9770886160860	Radio Cont Car Action	350	Radio Controlled Modelling	554
9770898894890	Classic Trains	395	Steam	556
9770898894920	Classic Trains	450	Steam	556
9770898894951	Classic Trains	395	Steam	556
9770898894975	Classic Trains	395	Steam	556
9770938872079	Tv Spielfilm	190	TV & Film Spin Offs	559
9770953216070	Yoga & Health	275	General Health & Fitness	540
9770953919100	Craftsman Magazine	595	Crafts	533
9770954689101	M8	250	Entertainment / Listings	536
9770954808144	Gibbons Stamp Monthly	350	Collecting	532
9770954808168	Gibbons Stamp Monthly	375	Collecting	532
9770955047054	Greyhound Star	300	Racing & Betting	553
9770955111106	Hi-Fi Choice	450	Hi-Fi	541
9770955536084	Horse And Rider	390	Equestrian	537
9770955536107	Horse And Rider	425	Equestrian	537
9770955538156	Backtrack	440	Transport General	558
9770955709181	Airforces Monthly	380	Aviation	529
9770955709228	Airforces Monthly	430	Aviation	529
9770955709235	Airforces Monthly	440	Aviation	529
9770955946173	Our Dogs	225	Dogs	550
9770955948030	Our Dogs Annual	850	Dogs	550
9770955948085	Our Dogs Annual	1095	Dogs	550
9770956142109	Scale Aircraft Modelling	450	Modelling	545
9770956658143	Boat Mart International	325	Boating	530
9770956658167	Boat Mart	350	Boating	530
9770956662164	Stamp & Coin Mart	310	Collecting	532
9770956662171	Stamp & Coin Mart	320	Collecting	532
9770957062024	Ultra Fit	370	General Health & Fitness	540
9770957494191	Empire	390	Film & Video Reviews	538
9770957494221	Empire	390	Film & Video Reviews	538
9770957494924	Empire	399	Film & Video Reviews	538
9770957494955	Empire	410	Film & Video Reviews	538
9770957629012	Cineblitz International	250	Film & Video Reviews	538
9770957771049	Minerva	450	Collecting	532
9770957771056	Minerva	595	Collecting	532
9770958189256	Motorboats Monthly	440	Boating	530
